Site,parrotfish,bandfish,spottedfish,stonefish
1,4.2,19.6,18.2,1.4
1,11.62,9.66,17.5,3.92
1,4.2,16.8,15.4,2.8
1,28,7,4.2,2.8
1,57.4,16.8,18.2,1.4
1,36.4,5.32,3.5,3.5
1,0,30.8,22.4,0
1,49,12.6,12.6,1.4
2,42,8.4,21,1.4
2,44.8,9.8,18.2,1.4
2,39.2,4.2,0,0
2,12.6,7,8.4,4.2
2,19.6,1.4,1.4,1.4
2,32.2,2.8,1.4,5.6
2,21,5.6,4.2,4.2
2,26.6,4.2,1.4,5.6
3,22.4,9.8,2.8,18.2
3,32.2,7,12.6,0
3,48.72,12.18,3.08,1.54
3,60.9,13.72,6.02,1.54
3,5.6,0,7,4.2
3,71.4,4.2,9.8,1.4
4,23.8,7,4.2,0
4,53.2,9.8,16.8,5.6
4,21,12.6,4.2,1.4
4,39.2,0,0,0
4,100.8,5.6,1.4,1.4
5,44.8,8.4,9.8,12.6
5,44.8,23.8,7,8.4
5,11.2,5.6,0,0
5,15.4,15.4,0,2.8
5,25.2,8.4,8.4,7
5,12.6,8.4,0,2.8
5,18.2,16.8,1.4,4.2
5,0,7,0,5.6
